"Instrument,Mean,Median,Std.,Var,Spectral Centroid,Spectral roll-off"
"Flute,-0.015645266,-0.016098022,0.176039135,0.030989777,0.097455548,0.082837216"
"Flute,-0.011740446,-0.028182983,0.179947794,0.032381209,0.0966465,0.082149525"
"Flute,-0.008258581,-0.052703857,0.184609676,0.034080732,0.095813561,0.081441527"
"Flute,-0.004100442,-0.079116821,0.19552779,0.038231117,0.095054309,0.080796162"
"Flute,-0.011400223,-0.074661255,0.181227942,0.032843567,0.094279698,0.080137744"
"Flute,-0.007226348,-0.058288574,0.172708342,0.029828172,0.093537442,0.079506825"
"Flute,-0.004062176,-0.044769287,0.169368164,0.028685575,0.092764853,0.078850125"
"Flute,-0.014932871,-0.044616699,0.163800885,0.02683073,0.092051465,0.078243745"
"Flute,-0.011276245,-0.034286499,0.154391935,0.023836869,0.091334176,0.07763405"
"Flute,-0.005340338,0.028045654,0.129479031,0.016764819,0.090632187,0.077037359"
"Flute,-0.008013964,0.033889771,0.118746346,0.014100695,0.089954072,0.076460961"
"Flute,-0.01200521,0.028442383,0.116322541,0.013530934,0.089253908,0.075865822"
"Flute,-0.009709239,0.018386841,0.122160356,0.014923153,0.088594,0.0753049"
"Flute,-0.006298304,0.039825439,0.131015107,0.017164958,0.087908687,0.074722384"
"Flute,-0.009690285,0.067764282,0.143739057,0.020660917,0.087297549,0.074202916"
"Flute,-0.015603542,0.048217773,0.152717945,0.023322771,0.08664796,0.073650766"
"Flute,-0.012188435,0.024047852,0.153105227,0.023441211,0.086029838,0.073125362"
"Flute,-0.007660031,0.003753662,0.155481517,0.024174502,0.085402827,0.072592403"
"Flute,-0.008307457,-0.009902954,0.163117461,0.026607306,0.084839358,0.072113454"
"Flute,-0.00633347,-0.027999878,0.179774321,0.032318807,0.084218349,0.071585597"
"Flute,-0.009338498,-0.047561646,0.18495188,0.034207198,0.083666158,0.071116234"
"Flute,-0.007823229,-0.047348022,0.185726206,0.034494224,0.083077668,0.070616018"
"Flute,-0.00685513,-0.031997681,0.181237642,0.032847083,0.082533206,0.070153225"
"Flute,-0.010191917,-0.016098022,0.172733516,0.029836868,0.081969771,0.069674305"
"Flute,-0.00797534,0.016937256,0.15388271,0.023679888,0.08143185,0.069217072"
"Flute,-0.005165339,0.021896362,0.136717363,0.018691637,0.080884713,0.068752006"
"Flute,-0.010490537,0.022979736,0.125280561,0.015695219,0.080362663,0.068308264"
"Flute,-0.01296401,0.0078125,0.123208845,0.01518042,0.079840866,0.067864736"
"Flute,-0.00903964,0.003265381,0.124658439,0.015539726,0.079332126,0.067432307"
"Flute,-0.005578637,0.009094238,0.125929296,0.015858188,0.078830565,0.067005981"
"Flute,-0.009944439,0.003723145,0.127181515,0.016175138,0.078332595,0.066582706"
"Flute,-0.012563467,-0.004623413,0.12724456,0.016191178,0.077847334,0.066170234"
"Flute,-0.0087111,0.000595093,0.126829807,0.0160858,0.077363808,0.065759236"
"Flute,-0.006853938,0.010879517,0.127524325,0.016262454,0.076893465,0.065359445"
"Flute,-0.012994885,0.00881958,0.132125954,0.017457268,0.076425486,0.064961663"
"Flute,-0.017112017,0.005889893,0.134243983,0.018021447,0.075968744,0.064573432"
"Flute,-0.010254264,0.011932373,0.129282022,0.016713841,0.075519719,0.064191761"
"Flute,-0.005996466,0.014175415,0.126863324,0.016094303,0.075073003,0.063812052"
"Flute,-0.010668159,-0.002349854,0.121764495,0.014826592,0.074640407,0.063444346"
"Flute,-0.011105299,-0.020706177,0.110745621,0.012264593,0.07419953,0.063069601"
"Flute,-0.007588148,-0.018051147,0.100788792,0.010158381,0.073781149,0.062713977"
"Flute,-0.004509449,-0.016052246,0.080593981,0.00649539,0.073354627,0.062351433"
"Flute,-0.010315299,-0.014678955,0.049564314,0.002456621,0.072958454,0.062014686"
